Period,House,Grid
May-26_Hour20,0.0,0.0
May-26_Hour21,0.0,0.0
May-26_Hour22,0.0,0.0
May-26_Hour23,0.0,0.0
May-27_Hour0,0.0,0.0
May-27_Hour1,0.0,0.0
May-27_Hour2,0.0,0.0
May-27_Hour3,0.0,0.0
May-27_Hour4,0.0,0.0
May-27_Hour5,0.0,0.0
May-27_Hour6,0.0,0.0
May-27_Hour7,0.0,0.0
May-27_Hour8,0.0,0.0
May-27_Hour9,0.0,0.0
May-27_Hour10,0.0,0.0
May-27_Hour11,0.0,0.0
May-27_Hour12,0.0,11002.329999999994
May-27_Hour13,0.0,13831.1
May-27_Hour14,0.0,13172.2
May-27_Hour15,0.0,13831.1
May-27_Hour16,0.0,13831.1
May-27_Hour17,0.0,14490.0
May-27_Hour18,0.0,3891.2
May-27_Hour19,0.0,0.0
May-27_Hour20,0.0,0.0
May-27_Hour21,0.0,0.0
May-27_Hour22,0.0,0.0
May-27_Hour23,0.0,0.0
May-28_Hour0,0.0,0.0
May-28_Hour1,0.0,0.0
May-28_Hour2,0.0,0.0
May-28_Hour3,0.0,0.0
May-28_Hour4,0.0,0.0
May-28_Hour5,0.0,0.0
May-28_Hour6,0.0,0.0
May-28_Hour7,0.0,0.0
May-28_Hour8,0.0,0.0
May-28_Hour9,0.0,0.0
May-28_Hour10,0.0,0.0
May-28_Hour11,0.0,0.0
May-28_Hour12,0.0,13038.330000000004
May-28_Hour13,0.0,14490.0
May-28_Hour14,0.0,13831.1
May-28_Hour15,0.0,13172.2
May-28_Hour16,0.0,13831.1
May-28_Hour17,0.0,13831.1
May-28_Hour18,0.0,7245.0
May-28_Hour19,0.0,0.0
May-28_Hour20,0.0,0.0
May-28_Hour21,0.0,0.0
May-28_Hour22,0.0,0.0
May-28_Hour23,0.0,0.0
May-29_Hour0,0.0,0.0
May-29_Hour1,0.0,0.0
May-29_Hour2,0.0,0.0
May-29_Hour3,0.0,0.0
May-29_Hour4,0.0,0.0
May-29_Hour5,0.0,0.0
May-29_Hour6,0.0,0.0
May-29_Hour7,0.0,0.0
May-29_Hour8,0.0,0.0
May-29_Hour9,0.0,0.0
May-29_Hour10,0.0,0.0
May-29_Hour11,0.0,0.0
May-29_Hour12,0.0,10343.429999999995
May-29_Hour13,0.0,13831.1
May-29_Hour14,0.0,14490.0
May-29_Hour15,0.0,13172.2
May-29_Hour16,0.0,14490.0
May-29_Hour17,0.0,13172.2
May-29_Hour18,0.0,4550.1
May-29_Hour19,0.0,0.0
May-29_Hour20,0.0,0.0
May-29_Hour21,0.0,0.0
May-29_Hour22,0.0,0.0
May-29_Hour23,0.0,0.0
May-30_Hour0,0.0,0.0
May-30_Hour1,0.0,0.0
May-30_Hour2,0.0,0.0
May-30_Hour3,0.0,0.0
May-30_Hour4,0.0,0.0
May-30_Hour5,0.0,0.0
May-30_Hour6,0.0,0.0
May-30_Hour7,0.0,0.0
May-30_Hour8,0.0,0.0
May-30_Hour9,0.0,0.0
May-30_Hour10,0.0,0.0
May-30_Hour11,0.0,0.0
May-30_Hour12,0.0,13038.330000000004
May-30_Hour13,0.0,14490.0
May-30_Hour14,0.0,13831.1
May-30_Hour15,0.0,13831.1
May-30_Hour16,0.0,13172.2
May-30_Hour17,0.0,14490.0
May-30_Hour18,0.0,6586.1
May-30_Hour19,0.0,0.0
May-30_Hour20,0.0,0.0
May-30_Hour21,0.0,0.0
May-30_Hour22,0.0,0.0
May-30_Hour23,0.0,0.0
May-31_Hour0,0.0,0.0
May-31_Hour1,0.0,0.0
May-31_Hour2,0.0,0.0
May-31_Hour3,0.0,0.0
May-31_Hour4,0.0,0.0
May-31_Hour5,0.0,0.0
May-31_Hour6,0.0,0.0
May-31_Hour7,0.0,0.0
May-31_Hour8,0.0,0.0
May-31_Hour9,0.0,0.0
May-31_Hour10,0.0,0.0
May-31_Hour11,0.0,0.0
May-31_Hour12,0.0,10343.429999999995
May-31_Hour13,0.0,14490.0
May-31_Hour14,0.0,13831.1
May-31_Hour15,0.0,13172.2
May-31_Hour16,0.0,14490.0
May-31_Hour17,0.0,13831.1
May-31_Hour18,0.0,3891.2
May-31_Hour19,0.0,0.0
May-31_Hour20,0.0,0.0
May-31_Hour21,0.0,0.0
May-31_Hour22,0.0,0.0
May-31_Hour23,0.0,0.0
